country,region,income
Antigua and Barbuda,Latin America & Caribbean,High income
Aruba,Latin America & Caribbean,High income
Bahamas,Latin America & Caribbean,High income
Barbados,Latin America & Caribbean,High income
Belize,Latin America & Caribbean,Upper middle income
Cabo Verde,Sub-Saharan Africa,Lower middle income
Cuba,Latin America & Caribbean,Upper middle income
Dominica,Latin America & Caribbean,Upper middle income
Fiji,East Asia & Pacific,Upper middle income
Grenada,Latin America & Caribbean,Upper middle income
Guyana,Latin America & Caribbean,Upper middle income
Kiribati,East Asia & Pacific,Lower middle income
Macau,East Asia & Pacific,High income
Maldives,South Asia,Upper middle income
Puerto Rico,Latin America & Caribbean,High income
Republic of Korea,East Asia & Pacific,High income
Russian Federation,Europe & Central Asia,Upper middle income
Saint Kitts and Nevis,Latin America & Caribbean,High income
Saint Lucia,Latin America & Caribbean,Upper middle income
Saint Vincent and Grenadines,Latin America & Caribbean,Upper middle income
San Marino,Europe & Central Asia,High income
Seychelles,Sub-Saharan Africa,High income
Austria,Europe & Central Asia,High income
Belgium,Europe & Central Asia,High income
Cyprus,Europe & Central Asia,High income
Denmark,Europe & Central Asia,High income
Finland,Europe & Central Asia,High income
France,Europe & Central Asia,High income
Germany,Europe & Central Asia,High income
Greece,Europe & Central Asia,High income
Iceland,Europe & Central Asia,High income
Ireland,Europe & Central Asia,High income
Italy,Europe & Central Asia,High income
Luxembourg,Europe & Central Asia,High income
Malta,Middle East & North Africa,High income
Netherlands,Europe & Central Asia,High income
Norway,Europe & Central Asia,High income
Portugal,Europe & Central Asia,High income
Spain,Europe & Central Asia,High income
Sweden,Europe & Central Asia,High income
Switzerland,Europe & Central Asia,High income
United Kingdom,Europe & Central Asia,High income
Mauritius,Sub-Saharan Africa,Upper middle income
South Africa,Sub-Saharan Africa,Upper middle income
Sri Lanka,South Asia,Upper middle income
Philippines,East Asia & Pacific,Lower middle income
Singapore,East Asia & Pacific,High income
Thailand,East Asia & Pacific,Upper middle income
Canada,North America,High income
United States,North America,High income
Bahrain,Middle East & North Africa,High income
Israel,Middle East & North Africa,High income
Kuwait,Middle East & North Africa,High income
Oman,Middle East & North Africa,High income
Qatar,Middle East & North Africa,High income
Turkey,Europe & Central Asia,Upper middle income
United Arab Emirates,Middle East & North Africa,High income
Argentina,Latin America & Caribbean,Upper middle income
Brazil,Latin America & Caribbean,Upper middle income
Chile,Latin America & Caribbean,High income
Colombia,Latin America & Caribbean,Upper middle income
Costa Rica,Latin America & Caribbean,Upper middle income
Ecuador,Latin America & Caribbean,Upper middle income
El Salvador,Latin America & Caribbean,Lower middle income
Guatemala,Latin America & Caribbean,Upper middle income
Jamaica,Latin America & Caribbean,Upper middle income
Mexico,Latin America & Caribbean,Upper middle income
Nicaragua,Latin America & Caribbean,Lower middle income
Panama,Latin America & Caribbean,High income
Paraguay,Latin America & Caribbean,Upper middle income
Suriname,Latin America & Caribbean,Upper middle income
Trinidad and Tobago,Latin America & Caribbean,High income
Uruguay,Latin America & Caribbean,High income
Japan,East Asia & Pacific,High income
Mongolia,East Asia & Pacific,Lower middle income
Albania,Europe & Central Asia,Upper middle income
Armenia,Europe & Central Asia,Upper middle income
Azerbaijan,Europe & Central Asia,Upper middle income
Belarus,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
Bulgaria,Europe & Central Asia,Upper middle income
Croatia,Europe & Central Asia,High income
Czech Republic,Europe & Central Asia,High income
Estonia,Europe & Central Asia,High income
Georgia,Europe & Central Asia,Upper middle income
Hungary,Europe & Central Asia,High income
Kazakhstan,Europe & Central Asia,Upper middle income
Kyrgyzstan,Europe & Central Asia,Lower middle income
Latvia,Europe & Central Asia,High income
Lithuania,Europe & Central Asia,High income
Montenegro,Europe & Central Asia,Upper middle income
Poland,Europe & Central Asia,High income
Romania,Europe & Central Asia,Upper middle income
Serbia,Europe & Central Asia,Upper middle income
Slovakia,Europe & Central Asia,High income
Slovenia,Europe & Central Asia,High income
Turkmenistan,Europe & Central Asia,Upper middle income
Ukraine,Europe & Central Asia,Lower middle income
Uzbekistan,Europe & Central Asia,Lower middle income
Australia,East Asia & Pacific,High income
New Zealand,East Asia & Pacific,High income
